#Timestamp Index Source_Key Target_Key Source_Xmin Source_Xmax Source_Ymin Source_Ymax Target_Xmin Target_Xmax Target_Ymin Target_Ymax IoU totalscore matchlabel isWithinImage isInFront
42.099999998 843 8286623314361712644 8142508126285856825 336.117828369 401.101470947 270.752899170 343.548126221 365.704676579 416.839096131 257.116886028 345.685756204 0.385580384 0.933391503 5 1 1
42.099999998 843 8286623314361712647 8142508126285856837 287.701507568 461.522613525 317.900482178 414.357269287 312.989366153 485.655896684 314.607065345 404.433928556 0.661738417 0.817926784 5 1 1
42.099999998 843 8286623314361712648 8142508126285856883 143.795761108 170.208602905 406.976959229 430.979522705 163.344014797 210.564561855 377.694132512 415.618357740 0.025077435 0.296156424 4 1 1
42.099999998 843 8286623314361712649 8142508126285856828 136.366363525 158.326141357 376.709472656 409.407592773 158.612169235 182.240711018 369.456093131 401.131462102 0.000000000 0.357832499 4 1 1
42.149999999 844 8286623314361712640 8142508126285856883 149.996261597 213.727737427 379.976623535 434.879455566 177.939963084 224.811107487 379.927283560 418.303350247 0.349357918 0.772951234 4 1 1
42.149999999 844 8286623314361712641 8142508126285856830 198.440605164 263.820198059 314.993774414 398.517944336 222.824258732 275.580574836 311.694494809 384.430994147 0.441241521 0.228279799 5 1 1
42.149999999 844 8286623314361712642 8142508126285856827 142.000259399 168.982192993 341.437713623 372.934967041 160.115987653 186.445219634 331.052421164 362.777274055 0.126475697 0.636141887 5 1 1
42.149999999 844 8286623314361712643 8142508126285856834 111.968425751 140.269428253 367.192382812 405.597961426 129.048681320 158.402054412 356.922565506 396.327655420 0.170566484 0.747703724 4 1 1
42.149999999 844 8286623314361712644 8142508126285856825 347.111511230 412.906311035 267.349548340 339.557922363 376.859754615 430.174919676 252.565804571 341.597828829 0.377509449 0.854669344 4 1 1
42.149999999 844 8286623314361712648 8142508126285856883 158.573455811 185.503875732 410.203857422 434.751586914 177.939963084 224.811107487 379.927283560 418.303350247 0.025542071 0.280682755 5 1 1
42.199999998 845 8286623314361712640 8142508126285856883 151.589630127 216.149322510 385.401977539 440.986328125 179.878692147 227.203879422 386.319119845 424.917185224 0.348669698 0.706670664 4 1 1
42.199999998 845 8286623314361712641 8142508126285856830 202.511405945 266.266181946 321.037841797 405.356750488 226.981244278 279.000406309 318.150409925 392.624830274 0.436857948 0.103418268 4 1 1
42.199999998 845 8286623314361712642 8142508126285856834 114.025192261 142.135940552 370.447265625 410.058654785 131.859676167 160.582496332 361.079266016 401.434873054 0.162950329 0.783418249 4 1 1
42.199999998 845 8286623314361712643 8142508126285856827 145.802505493 171.635299683 345.906433105 378.059143066 163.869806822 189.878604608 335.841986115 368.208575900 0.115517902 0.640770134 4 1 1
42.199999998 845 8286623314361712644 8142508126285856825 352.921600342 412.495635986 276.517883301 351.376037598 383.319830347 436.717309876 262.590250857 353.569983865 0.306161481 0.825164488 5 1 1
42.199999998 845 8286623314361712645 8142508126285856883 159.911987305 185.896575928 416.349365234 440.918762207 179.878692147 227.203879422 386.319119845 424.917185224 0.021362994 0.138038415 4 1 1
42.199999998 845 8286623314361712647 8142508126285856883 151.831069946 175.698989868 385.438659668 419.220092773 179.878692147 227.203879422 386.319119845 424.917185224 0.000000000 0.031059535 4 1 1
42.249999999 846 8286623314361712640 8142508126285856883 160.017028809 224.144073486 383.758728027 439.170410156 187.990207555 235.241414929 384.647980690 423.312437732 0.351006554 0.667054741 5 1 1
42.249999999 846 8286623314361712641 8142508126285856830 210.307861328 275.142303467 318.382202148 404.088317871 234.900107140 287.127661897 316.356756293 391.244738011 0.448630510 0.212665120 5 1 1
42.249999999 846 8286623314361712642 8142508126285856834 122.144916534 150.131359100 369.207550049 408.143463135 139.936993961 168.646117919 359.155278316 399.612372304 0.159672704 0.817173850 4 1 1
42.249999999 846 8286623314361712643 8142508126285856827 153.358840942 179.821945190 343.955169678 376.103179932 171.997787965 198.000724009 333.934774427 366.391812033 0.115555343 0.701479696 5 1 1
42.249999999 846 8286623314361712644 8142508126285856825 361.011505127 428.202850342 274.712982178 351.135528564 391.904766840 446.138534911 260.573173672 352.556217420 0.377438071 0.900344799 4 1 1
42.249999999 846 8286623314361712647 8142508126285856828 159.872192383 182.337921143 383.566772461 416.914428711 182.933310832 206.845523842 376.228148887 408.501851913 0.000000000 0.630866186 4 1 1
42.249999999 846 8286623314361712648 8142508126285856883 167.736114502 193.534667969 414.500946045 439.091766357 187.990207555 235.241414929 384.647980690 423.312437732 0.020250806 0.207213014 5 1 1
42.249999999 846 8286623314361712649 8142508126285856837 312.134246826 492.984222412 323.248779297 424.025573730 338.564772576 518.906875803 319.907783460 414.088273242 0.662206233 0.763640845 4 1 1
42.249999999 846 8286623314361712650 8142508126285856828 177.500915527 198.026428223 388.698638916 419.105072021 182.933310832 206.845523842 376.228148887 408.501851913 0.272475433 0.304569704 4 1 1
42.299999999 847 8286623314361712640 8142508126285856883 165.255859375 229.944152832 384.704498291 440.837738037 193.831449062 241.063996527 385.812960323 424.701471764 0.345597525 0.762122146 4 1 1
42.299999999 847 8286623314361712641 8142508126285856830 215.715576172 280.369506836 319.839233398 405.095764160 240.170961304 292.948434261 317.091027694 392.227788158 0.443058848 0.116220145 4 1 1
42.299999999 847 8286623314361712642 8142508126285856827 127.729854584 155.440128326 370.384582520 409.840759277 177.420335796 203.571803786 335.074987564 367.581692637 0.000000000 0.600740749 4 1 1
42.299999999 847 8286623314361712643 8142508126285856827 158.972854614 185.228988647 344.813690186 377.172332764 177.420335796 203.571803786 335.074987564 367.581692637 0.116817586 0.645549575 5 1 1
42.299999999 847 8286623314361712644 8142508126285856825 366.495086670 435.438201904 273.832885742 351.126892090 397.497539997 452.757437712 259.939528816 352.673889536 0.389930282 0.814432640 5 1 1
42.299999999 847 8286623314361712647 8142508126285856883 173.466415405 199.713882446 416.125122070 440.749145508 193.831449062 241.063996527 385.812960323 424.701471764 0.020738434 0.279460141 5 1 1
42.299999999 847 8286623314361712648 8142508126285856828 165.422363281 187.668212891 385.040832520 418.505798340 188.543390954 212.662227902 377.500866359 409.831669771 0.000000000 0.670277062 4 1 1
42.349999998 848 8286623314361712640 8142508126285856883 179.304000854 244.817642212 385.013092041 441.156890869 209.160177892 255.679234494 384.220381476 423.639253320 0.333118112 0.669091146 5 1 1
42.349999998 848 8286623314361712641 8142508126285856830 225.681579590 294.461791992 317.498901367 401.055480957 250.008769855 305.876782762 313.922709634 386.949421829 0.458080666 0.098737450 5 1 1
